,label,real duration,memory usage,steps,elapsed,nx,ny,solver,tolerence,free energy at elapsed,cvar_Interpolated_Function,dt,dx,dy,sweeps,L1,L2,Linf
86,f1c316514546,590660.5963568687,1120.996094,42,5.0,400,400,LU,0.1,15464.5509146,,0.104952481839,0.5,0.5,6,9.9960463795234489e-09,1.0561007696479933e-10,9.1850971273288451e-12
87,f1c316514546,590660.5963568687,1120.996094,50,10.0,400,400,LU,0.1,255011.476662,,0.276794734012,0.5,0.5,6,0.010476615903772468,9.2914132625874989e-05,3.1590005287740475e-06
88,f1c316514546,590660.5963568687,1120.996094,59,20.0,400,400,LU,0.1,1873971.28594,,0.801149945602,0.5,0.5,6,60.869842199216265,0.19231557992865156,0.003485122478504965
89,f1c316514546,590660.5963568687,1120.996094,98,100.0,400,400,LU,0.1,959427.381024,,2.00619387245,0.5,0.5,6,26.297242571755163,0.1889006501007397,0.014161854725675549
90,f1c316514546,590660.5963568687,1120.996094,135,200.0,400,400,LU,0.1,751761.070496,,1.20026053821,0.5,0.5,6,24.218471630487247,0.1405912340756014,0.0048317070248842797
91,f1c316514546,590660.5963568687,1120.996094,236,500.0,400,400,LU,0.1,644092.177548,,2.0998383531,0.5,0.5,6,20.957070263859205,0.11418686628536696,0.0021627153696405221
92,f1c316514546,590660.5963568687,1120.996094,396,1000.0,400,400,LU,0.1,591844.031341,,0.734662909636,0.5,0.5,6,19.505552626177131,0.11501089736618791,0.0034751508223360705
93,f1c316514546,590660.5963568687,1120.996094,778,2000.0,400,400,LU,0.1,520851.567153,,2.17536154534,0.5,0.5,6,17.639301340332214,0.13437816453761825,0.0046731285484062357
94,f1c316514546,590660.5963568687,1120.996094,1084,3000.0,400,400,LU,0.1,455766.331839,,0.266667894654,0.5,0.5,6,16.985920836622459,0.13323712537450219,0.0032979186246916981
95,9a98c389d8c2,80378.18743395805,357.707031,25,1.0,200,200,LU,0.1,2283.98454445,,0.0165294056612,1.0,1.0,6,5.5424326636840675,0.041164197327013409,0.0015588435991195082
96,9a98c389d8c2,80378.18743395805,357.707031,42,5.0,200,200,LU,0.1,15162.2985062,,0.104952481839,1.0,1.0,6,22.15700961992232,0.12957820198758443,0.0043159698376133981
97,9a98c389d8c2,80378.18743395805,357.707031,50,10.0,200,200,LU,0.1,242804.434831,,0.276794734012,1.0,1.0,6,130.02837925570969,0.54681297126464257,0.010591962386127474
98,9a98c389d8c2,80378.18743395805,357.707031,59,20.0,200,200,LU,0.1,1731388.03831,,0.801149945602,1.0,1.0,6,460.95511493206914,1.4866711584024142,0.023899076227022253
99,9a98c389d8c2,80378.18743395805,357.707031,98,100.0,200,200,LU,0.1,806088.324021,,0.233234869361,1.0,1.0,6,1851.6024581086665,14.17381160355634,0.37071176465395211
100,9a98c389d8c2,80378.18743395805,357.707031,132,200.0,200,200,LU,0.1,621714.250901,,2.79376901994,1.0,1.0,6,2799.5909290655145,20.121943076717212,0.38483641425820042
101,9a98c389d8c2,80378.18743395805,357.707031,226,500.0,200,200,LU,0.1,553705.376921,,1.02708309451,1.0,1.0,6,5310.9913012010093,32.159192699847047,0.39376886285930374
102,9a98c389d8c2,80378.18743395805,357.707031,387,1000.0,200,200,LU,0.1,521161.810882,,0.852590045297,1.0,1.0,6,8336.1994569255548,44.664529050161455,0.39632289125448439
103,9a98c389d8c2,80378.18743395805,357.707031,783,2000.0,200,200,LU,0.1,446095.518026,,1.01616211552,1.0,1.0,6,10834.54557733896,54.107675494372288,0.39644090528910292
104,9a98c389d8c2,80378.18743395805,357.707031,1045,3000.0,200,200,LU,0.1,420552.608721,,4.01557479203,1.0,1.0,6,12943.684450951187,61.878153921339987,0.39694725766604261
105,3c08d6f123cc,6651.941849946976,150.066406,25,1.0,100,100,LU,0.1,2180.3712874,,0.0165294056612,2.0,2.0,6,24.736660506732779,0.17643503645508463,0.0072393136990701601
106,3c08d6f123cc,6651.941849946976,150.066406,42,5.0,100,100,LU,0.1,13916.4603285,,0.104952481839,2.0,2.0,6,105.87402448173307,0.55518661545611814,0.017575646660485167
107,3c08d6f123cc,6651.941849946976,150.066406,50,10.0,100,100,LU,0.1,199301.054331,,0.276794734012,2.0,2.0,6,630.26508999128168,2.4841259547028174,0.042210182755487935
108,3c08d6f123cc,6651.941849946976,150.066406,59,20.0,100,100,LU,0.1,1325152.86843,,0.801149945602,2.0,2.0,6,2083.2622372685487,6.5632230724820664,0.090573903681115009
109,3c08d6f123cc,6651.941849946976,150.066406,99,100.0,100,100,LU,0.1,661094.824128,,1.04567226246,2.0,2.0,6,4804.1745203933488,22.730684233403021,0.371882163776597
110,3c08d6f123cc,6651.941849946976,150.066406,155,200.0,100,100,LU,0.1,528076.821308,,2.52460408115,2.0,2.0,6,6474.5634737385772,31.125327415598374,0.37969243163228017
111,3c08d6f123cc,6651.941849946976,150.066406,261,500.0,100,100,LU,0.1,511021.617006,,3.35705063653,2.0,2.0,6,10647.321802006303,47.324271269276728,0.38767289049068421
112,3c08d6f123cc,6651.941849946976,150.066406,438,1000.0,100,100,LU,0.1,537855.392458,,1.17066320181,2.0,2.0,6,15222.033247236104,63.077194272776538,0.38974969389122444
113,3c08d6f123cc,6651.941849946976,150.066406,788,2000.0,100,100,LU,0.1,457742.502388,,2.98509542159,2.0,2.0,6,20868.427462294774,79.950339409349056,0.39448142038397438
114,3c08d6f123cc,6651.941849946976,150.066406,1056,3000.0,100,100,LU,0.1,448816.807488,,2.67468431908,2.0,2.0,6,20618.537089422884,80.485141720349034,0.39228647357017093
123,abc377b4f395,201554.60396695137,607.679688,25,1.0,400,400,PCG,0.1,2308.81635754,,0.0165294056612,0.5,0.5,8,5.4337279991045762e-06,4.6460057679214394e-08,3.3151201783709894e-09
124,abc377b4f395,201554.60396695137,607.679688,42,5.0,400,400,PCG,0.1,15464.5509525,,0.104952481839,0.5,0.5,8,2.4062467599561543e-05,1.5776935524032858e-07,9.6878074451467455e-09
125,abc377b4f395,201554.60396695137,607.679688,50,10.0,400,400,PCG,0.1,255010.313507,,0.276794734012,0.5,0.5,8,0.0001016760259490157,4.5996240188741617e-07,2.4992743319351973e-08
126,abc377b4f395,201554.60396695137,607.679688,58,20.0,400,400,PCG,0.1,1863462.23452,,1.45204747713,0.5,0.5,8,0.00014282353729305752,6.2870406897967222e-07,1.6829569238208109e-08
127,abc377b4f395,201554.60396695137,607.679688,95,100.0,400,400,PCG,0.1,958790.561392,,1.84127605383,0.5,0.5,8,0.00019610512797335611,2.079382389473247e-06,1.535493425741663e-07
128,abc377b4f395,201554.60396695137,607.679688,128,200.0,400,400,PCG,0.1,751584.328426,,1.97045950735,0.5,0.5,8,0.00016723311515037809,1.2151621413108982e-06,4.2681296608115815e-08
129,abc377b4f395,201554.60396695137,607.679688,216,500.0,400,400,PCG,0.1,643974.883568,,3.53498330748,0.5,0.5,8,0.00011971600453630771,8.4759021847951332e-07,2.3745535371322291e-08
130,abc377b4f395,201554.60396695137,607.679688,352,1000.0,400,400,PCG,0.1,591777.037539,,2.86594915333,0.5,0.5,8,0.00012428676378811732,9.2586173038273013e-07,3.0082816127041667e-08
131,abc377b4f395,201554.60396695137,607.679688,694,2000.0,400,400,PCG,0.1,520833.359309,,1.42027871217,0.5,0.5,8,0.00011378076047735552,9.9540377512208653e-07,5.8717129602925411e-08
132,a47c4d5bffd5,303118.36471915245,607.679688,25,1.0,400,400,PCG,0.1,2308.81635754,,0.0165294056612,0.5,0.5,4,5.4337279991045762e-06,4.6460057679214394e-08,3.3151201783709894e-09
133,a47c4d5bffd5,303118.36471915245,607.679688,42,5.0,400,400,PCG,0.1,15464.5509291,,0.104952481839,0.5,0.5,4,2.471808180459778e-05,1.6931367844768182e-07,1.0684005125050078e-08
134,a47c4d5bffd5,303118.36471915245,607.679688,50,10.0,400,400,PCG,0.1,255036.4773,,0.276794734012,0.5,0.5,4,0.26204800141516832,0.0019939139949234448,5.2651443490980832e-05
135,a47c4d5bffd5,303118.36471915245,607.679688,60,20.0,400,400,PCG,0.1,1869077.57432,,0.93493318735,0.5,0.5,4,186.44667679249719,0.73335058951893406,0.013478760589160088
136,a47c4d5bffd5,303118.36471915245,607.679688,125,100.0,400,400,PCG,0.1,958946.033564,,0.654310002927,0.5,0.5,4,108.34587689606317,0.74550626355577465,0.046649393863299471
137,a47c4d5bffd5,303118.36471915245,607.679688,202,200.0,400,400,PCG,0.1,751705.185507,,0.901821981452,0.5,0.5,4,117.31164337144199,0.75496433807308783,0.034318700712581751
138,a47c4d5bffd5,303118.36471915245,607.679688,433,500.0,400,400,PCG,0.1,644401.095079,,0.0113335348475,0.5,0.5,4,82.296065420423886,0.46279586328047589,0.012801263864419599
139,a47c4d5bffd5,303118.36471915245,607.679688,809,1000.0,400,400,PCG,0.1,592063.897244,,1.06529369497,0.5,0.5,4,62.043217862414316,0.36698190708841577,0.009209290358462241
140,a47c4d5bffd5,303118.36471915245,607.679688,1581,2000.0,400,400,PCG,0.1,521002.906282,,0.397179175473,0.5,0.5,4,45.38606644663308,0.32036197471230182,0.0085102432197664002
141,a47c4d5bffd5,303118.36471915245,607.679688,2325,3000.0,400,400,PCG,0.1,455736.513303,,0.335958002983,0.5,0.5,4,41.661520815575201,0.33362339115549139,0.010634662861297439
142,120707df6f2e,112270.02590608597,607.679688,25,1.0,400,400,PCG,0.1,2308.81635754,,0.0165294056612,0.5,0.5,2,5.4337279991045762e-06,4.6460057679214394e-08,3.3151201783709894e-09
143,120707df6f2e,112270.02590608597,607.679688,42,5.0,400,400,PCG,0.1,15464.5307313,,0.104952481839,0.5,0.5,2,0.0014767521215341972,1.9027902737284718e-05,1.092020553983275e-06
144,120707df6f2e,112270.02590608597,607.679688,51,10.0,400,400,PCG,0.1,251382.938366,,0.133754448828,0.5,0.5,2,76.916145709165505,0.23486925811439718,0.0023218617779035
145,120707df6f2e,112270.02590608597,607.679688,77,20.0,400,400,PCG,0.1,1895382.81471,,0.171130395282,0.5,0.5,2,344.79189283497936,1.2351999959382332,0.023223771961343398
146,120707df6f2e,112270.02590608597,607.679688,506,100.0,400,400,PCG,0.1,922403.425648,,0.127166933181,0.5,0.5,2,579.37593415454569,6.6317276018735472,0.33696058672976825
147,120707df6f2e,112270.02590608597,607.679688,1104,200.0,400,400,PCG,0.1,685431.054057,,0.0981236612383,0.5,0.5,2,1740.2617500834679,15.950400766211262,0.38127160965384005
148,120707df6f2e,112270.02590608597,607.679688,2947,500.0,400,400,PCG,0.1,573275.919464,,0.148720688561,0.5,0.5,2,4128.2884301741888,28.351433660175047,0.39142358416694845
149,1b3f9740788f,22680.254019975662,223.636719,25,1.0,200,200,PCG,0.1,2283.98454277,,0.0165294056612,1.0,1.0,8,5.5424325451418905,0.041164200858225981,0.0015588442344870446
150,1b3f9740788f,22680.254019975662,223.636719,42,5.0,200,200,PCG,0.1,15162.2985196,,0.104952481839,1.0,1.0,8,22.157011032502311,0.12957820730225389,0.0043159798809548899
151,1b3f9740788f,22680.254019975662,223.636719,50,10.0,200,200,PCG,0.1,242802.775365,,0.276794734012,1.0,1.0,8,130.03673823082835,0.54683733679219004,0.01059142101547994
152,1b3f9740788f,22680.254019975662,223.636719,58,20.0,200,200,PCG,0.1,1722837.58659,,1.45204747713,1.0,1.0,8,487.33988595429571,1.5273193097322209,0.025538750445133984
153,1b3f9740788f,22680.254019975662,223.636719,95,100.0,200,200,PCG,0.1,806423.66269,,2.18424417261,1.0,1.0,8,1844.6026420622316,14.14466422503787,0.37072909647125413
154,1b3f9740788f,22680.254019975662,223.636719,127,200.0,200,200,PCG,0.1,621823.346408,,1.8482713782,1.0,1.0,8,2791.1946453314936,20.081499774435294,0.38483720715904607
155,1b3f9740788f,22680.254019975662,223.636719,213,500.0,200,200,PCG,0.1,553779.819103,,3.57284060247,1.0,1.0,8,5304.8103982254179,32.131333990795433,0.39376824295519014
156,1b3f9740788f,22680.254019975662,223.636719,361,1000.0,200,200,PCG,0.1,521271.864397,,2.71307523448,1.0,1.0,8,8329.6368823891007,44.640785028007301,0.39632315671199669
157,1b3f9740788f,22680.254019975662,223.636719,722,2000.0,200,200,PCG,0.1,446116.460257,,3.92993687477,1.0,1.0,8,10834.001242308901,54.103414354883562,0.39643991672640877
